image,sex,emotion,age,face_direction
/home/shangeth/Desktop/Projects-DL/FaceDetection/IMFDB_final/Vajramuni/odahuttidavaru/images/Vajramuni_105.jpg,MALE,SURPRISE,MIDDLE,FRONTAL
/home/shangeth/Desktop/Projects-DL/FaceDetection/IMFDB_final/Vajramuni/odahuttidavaru/images/Vajramuni_107.jpg,MALE,ANGER,MIDDLE,FRONTAL
/home/shangeth/Desktop/Projects-DL/FaceDetection/IMFDB_final/Vajramuni/odahuttidavaru/images/Vajramuni_108.jpg,MALE,DISGUST,MIDDLE,LEFT
/home/shangeth/Desktop/Projects-DL/FaceDetection/IMFDB_final/Vajramuni/odahuttidavaru/images/Vajramuni_133.jpg,MALE,SADNESS,MIDDLE,RIGHT
/home/shangeth/Desktop/Projects-DL/FaceDetection/IMFDB_final/Vajramuni/odahuttidavaru/images/Vajramuni_90.jpg,MALE,SURPRISE,MIDDLE,LEFT
/home/shangeth/Desktop/Projects-DL/FaceDetection/IMFDB_final/AmrishPuri/Misc/images/AmrishPuri_1.jpg,MALE,ANGER,MIDDLE,FRONTAL
/home/shangeth/Desktop/Projects-DL/FaceDetection/IMFDB_final/AmrishPuri/Misc/images/AmrishPuri_10.jpg,MALE,HAPPINESS,MIDDLE,RIGHT
/home/shangeth/Desktop/Projects-DL/FaceDetection/IMFDB_final/AmrishPuri/Misc/images/AmrishPuri_100.jpg,MALE,NEUTRAL,MIDDLE,RIGHT
/home/shangeth/Desktop/Projects-DL/FaceDetection/IMFDB_final/AmrishPuri/Misc/images/AmrishPuri_102.jpg,MALE,NEUTRAL,MIDDLE,DOWN
/home/shangeth/Desktop/Projects-DL/FaceDetection/IMFDB_final/AmrishPuri/Misc/images/AmrishPuri_103.jpg,MALE,HAPPINESS,MIDDLE,FRONTAL
/home/shangeth/Desktop/Projects-DL/FaceDetection/IMFDB_final/AmrishPuri/Misc/images/AmrishPuri_104.jpg,MALE,NEUTRAL,MIDDLE,FRONTAL
/home/shangeth/Desktop/Projects-DL/FaceDetection/IMFDB_final/AmrishPuri/Misc/images/AmrishPuri_105.jpg,MALE,NEUTRAL,MIDDLE,FRONTAL
/home/shangeth/Desktop/Projects-DL/FaceDetection/IMFDB_final/AmrishPuri/Misc/images/AmrishPuri_107.jpg,MALE,NEUTRAL,MIDDLE,FRONTAL
/home/shangeth/Desktop/Projects-DL/FaceDetection/IMFDB_final/AmrishPuri/Misc/images/AmrishPuri_108.jpg,MALE,NEUTRAL,MIDDLE,FRONTAL
/home/shangeth/Desktop/Projects-DL/FaceDetection/IMFDB_final/AmrishPuri/Misc/images/AmrishPuri_109.jpg,MALE,HAPPINESS,MIDDLE,RIGHT
/home/shangeth/Desktop/Projects-DL/FaceDetection/IMFDB_final/AmrishPuri/Misc/images/AmrishPuri_11.jpg,MALE,HAPPINESS,MIDDLE,FRONTAL
/home/shangeth/Desktop/Projects-DL/FaceDetection/IMFDB_final/AmrishPuri/Misc/images/AmrishPuri_110.jpg,MALE,NEUTRAL,MIDDLE,FRONTAL
/home/shangeth/Desktop/Projects-DL/FaceDetection/IMFDB_final/AmrishPuri/Misc/images/AmrishPuri_111.jpg,MALE,NEUTRAL,MIDDLE,FRONTAL
/home/shangeth/Desktop/Projects-DL/FaceDetection/IMFDB_final/AmrishPuri/Misc/images/AmrishPuri_114.jpg,MALE,NEUTRAL,MIDDLE,FRONTAL
/home/shangeth/Desktop/Projects-DL/FaceDetection/IMFDB_final/AmrishPuri/Misc/images/AmrishPuri_115.jpg,MALE,HAPPINESS,MIDDLE,FRONTAL
/home/shangeth/Desktop/Projects-DL/FaceDetection/IMFDB_final/AmrishPuri/Misc/images/AmrishPuri_116.jpg,MALE,NEUTRAL,MIDDLE,FRONTAL
/home/shangeth/Desktop/Projects-DL/FaceDetection/IMFDB_final/AmrishPuri/Misc/images/AmrishPuri_117.jpg,MALE,NEUTRAL,MIDDLE,FRONTAL
/home/shangeth/Desktop/Projects-DL/FaceDetection/IMFDB_final/AmrishPuri/Misc/images/AmrishPuri_121.jpg,MALE,NEUTRAL,MIDDLE,FRONTAL
/home/shangeth/Desktop/Projects-DL/FaceDetection/IMFDB_final/AmrishPuri/Misc/images/AmrishPuri_129.jpg,MALE,NEUTRAL,MIDDLE,FRONTAL
/home/shangeth/Desktop/Projects-DL/FaceDetection/IMFDB_final/AmrishPuri/Misc/images/AmrishPuri_13.jpg,MALE,NEUTRAL,MIDDLE,LEFT
/home/shangeth/Desktop/Projects-DL/FaceDetection/IMFDB_final/AmrishPuri/Misc/images/AmrishPuri_130.jpg,MALE,NEUTRAL,MIDDLE,FRONTAL
/home/shangeth/Desktop/Projects-DL/FaceDetection/IMFDB_final/AmrishPuri/Misc/images/AmrishPuri_131.jpg,MALE,NEUTRAL,MIDDLE,FRONTAL
/home/shangeth/Desktop/Projects-DL/FaceDetection/IMFDB_final/AmrishPuri/Misc/images/AmrishPuri_132.jpg,MALE,NEUTRAL,MIDDLE,LEFT
/home/shangeth/Desktop/Projects-DL/FaceDetection/IMFDB_final/AmrishPuri/Misc/images/AmrishPuri_136.jpg,MALE,NEUTRAL,MIDDLE,FRONTAL
/home/shangeth/Desktop/Projects-DL/FaceDetection/IMFDB_final/AmrishPuri/Misc/images/AmrishPuri_137.jpg,MALE,NEUTRAL,MIDDLE,FRONTAL
/home/shangeth/Desktop/Projects-DL/FaceDetection/IMFDB_final/AmrishPuri/Misc/images/AmrishPuri_139.jpg,MALE,NEUTRAL,MIDDLE,FRONTAL
/home/shangeth/Desktop/Projects-DL/FaceDetection/IMFDB_final/AmrishPuri/Misc/images/AmrishPuri_14.jpg,MALE,HAPPINESS,MIDDLE,LEFT
/home/shangeth/Desktop/Projects-DL/FaceDetection/IMFDB_final/AmrishPuri/Misc/images/AmrishPuri_140.jpg,MALE,NEUTRAL,MIDDLE,FRONTAL
/home/shangeth/Desktop/Projects-DL/FaceDetection/IMFDB_final/AmrishPuri/Misc/images/AmrishPuri_141.jpg,MALE,NEUTRAL,MIDDLE,FRONTAL
/home/shangeth/Desktop/Projects-DL/FaceDetection/IMFDB_final/AmrishPuri/Misc/images/AmrishPuri_142.jpg,MALE,NEUTRAL,MIDDLE,FRONTAL
/home/shangeth/Desktop/Projects-DL/FaceDetection/IMFDB_final/AmrishPuri/Misc/images/AmrishPuri_144.jpg,MALE,NEUTRAL,MIDDLE,FRONTAL
/home/shangeth/Desktop/Projects-DL/FaceDetection/IMFDB_final/AmrishPuri/Misc/images/AmrishPuri_145.jpg,MALE,NEUTRAL,MIDDLE,FRONTAL
/home/shangeth/Desktop/Projects-DL/FaceDetection/IMFDB_final/AmrishPuri/Misc/images/AmrishPuri_146.jpg,MALE,NEUTRAL,MIDDLE,RIGHT
/home/shangeth/Desktop/Projects-DL/FaceDetection/IMFDB_final/AmrishPuri/Misc/images/AmrishPuri_147.jpg,MALE,NEUTRAL,MIDDLE,FRONTAL
/home/shangeth/Desktop/Projects-DL/FaceDetection/IMFDB_final/AmrishPuri/Misc/images/AmrishPuri_148.jpg,MALE,SURPRISE,MIDDLE,FRONTAL
/home/shangeth/Desktop/Projects-DL/FaceDetection/IMFDB_final/AmrishPuri/Misc/images/AmrishPuri_149.jpg,MALE,NEUTRAL,MIDDLE,FRONTAL
